"alt","comments","facebookUrl","images/0/thumb","isVideo","likes","link","pageId","postId","shares","text","thumb","time","timestamp","topLevelUrl","url"
,"56","https://www.facebook.com/tamkrasaee/",,"true","1400",,"100064641337040","565504145614292","293","สวัสดีวันศุกร์🫠","https://scontent-man2-1.xx.fbcdn.net/v/t15.5256-10/330313566_1831630927213741_9161374736605383591_n.jpg?stp=dst-jpg_p480x480&_nc_cat=104&ccb=1-7&_nc_sid=08861d&_nc_ohc=SSTIYgl1P2cAX-RHVVv&_nc_ht=scontent-man2-1.xx&oh=00_AfB-8AZ9d_J3AfxizS8hHnYO69dfBIql-rH2Fjc0f7ql9A&oe=63F8F765","Thursday, 16 February 2023 at 18:46","1676601980000","https://www.facebook.com/100064641337040/posts/565504145614292","https://www.facebook.com/tamkrasaee/posts/pfbid0NEfeApbgFMFHsUh3Vfbe6LUAcnNVA1twHpTyEFA7EneC8U5f93cM5btJdQbN7Dk5l"
,"276","https://www.facebook.com/tamkrasaee/",,,"6400","https://www.facebook.com/photo.php?fbid=564429535721753&set=a.451405387024169&type=3","100064641337040","564429552388418","2800","วันวาน","https://scontent-man2-1.xx.fbcdn.net/v/t39.30808-6/331242218_3389249288015567_2540784460626741152_n.jpg?stp=dst-jpg_p526x296&_nc_cat=111&ccb=1-7&_nc_sid=110474&_nc_ohc=GQTt7dLMgf8AX-CNIFN&_nc_ht=scontent-man2-1.xx&oh=00_AfAF7ExQDJYFsIcEyR9aFiK9l5lXirA3qBSA2ZHKDQYPmQ&oe=63F7FAEA","Wednesday, 15 February 2023 at 05:26","1676467560000","https://www.facebook.com/100064641337040/posts/564429552388418","https://www.facebook.com/tamkrasaee/posts/pfbid0CarbuwpwRdYVDZtdeWLQgLjrXo75nHaY81GkvmxwRd3ZCx5Gtr1ptufKq9MC3YnHl"
,"87","https://www.facebook.com/tamkrasaee/",,,"853","https://www.facebook.com/photo.php?fbid=564309742400399&set=a.451405387024169&type=3","100064641337040","564309755733731","154","ไม่เกินจริง","https://scontent-man2-1.xx.fbcdn.net/v/t39.30808-6/329398433_506905534961795_6417421878365660864_n.jpg?stp=dst-jpg_p403x403&_nc_cat=107&ccb=1-7&_nc_sid=110474&_nc_ohc=N_sdrI-ynSoAX9Fq7Xc&_nc_ht=scontent-man2-1.xx&oh=00_AfBy8VMJJfEjxHReAI6_2fhVEAJ9ZPChRUfUhma8NBHlyw&oe=63F88885","Wednesday, 15 February 2023 at 01:52","1676454739000","https://www.facebook.com/100064641337040/posts/564309755733731","https://www.facebook.com/tamkrasaee/posts/pfbid02WfGhw6k6W4wa6s7r4YvyGw4UqTx4tb1yuEseXi5mabu256WTacapawxyg8myGveel"
,"34","https://www.facebook.com/tamkrasaee/",,,"555","https://www.facebook.com/photo.php?fbid=564218929076147&set=a.451405387024169&type=3","100064641337040","564218952409478","252","แค่นี้จิ๊บจิ๊บ 😌💀","https://scontent-man2-1.xx.fbcdn.net/v/t39.30808-6/331280933_579508077479365_308829528395742042_n.jpg?stp=dst-jpg_p480x480&_nc_cat=108&ccb=1-7&_nc_sid=110474&_nc_ohc=-ISTNaPk948AX8gEnEC&_nc_ht=scontent-man2-1.xx&oh=00_AfCuE312cDeVIrmaTb9g8_BFdYFdAinp6mXCnw9WUcVOJg&oe=63F89B6B","Tuesday, 14 February 2023 at 22:26","1676442374000","https://www.facebook.com/100064641337040/posts/564218952409478","https://www.facebook.com/tamkrasaee/posts/pfbid0oxPWHEXHrtWJeoHc9TELpNeT5cMyb8czxiccL6jFW4nHWffxToBkpbx5KK1ecDQl"
,"795","https://www.facebook.com/tamkrasaee/",,,"3500","https://www.facebook.com/photo.php?fbid=563362315828475&set=a.451405387024169&type=3","100064641337040","563362339161806","1600","อุ๊ย ! #วาเลนไทน์","https://scontent-man2-1.xx.fbcdn.net/v/t39.30808-6/328743156_909842633540106_7819935670347223135_n.jpg?stp=dst-jpg_p480x480&_nc_cat=107&ccb=1-7&_nc_sid=110474&_nc_ohc=c1g7UiNTc98AX95Bn78&_nc_ht=scontent-man2-1.xx&oh=00_AfCiKNdpcy75DDRa2_6prUFwLSAvIuBt1u8R6MhWvkqppg&oe=63F88AAB","Monday, 13 February 2023 at 17:49","1676339386000","https://www.facebook.com/100064641337040/posts/563362339161806","https://www.facebook.com/tamkrasaee/posts/pfbid02mPjQS1RsuMjdgfspX75G46xCV5L65pvZX73CUUERUipyepQbL8HTJJ8GnmtLwV1gl"
,"81","https://www.facebook.com/tamkrasaee/",,,"4000","https://www.facebook.com/photo.php?fbid=562911939206846&set=a.451405387024169&type=3","100064641337040","562911952540178","624","MOOD","https://scontent.fagc1-2.fna.fbcdn.net/v/t39.30808-6/330199244_585586526755716_8603259523420936807_n.jpg?stp=dst-jpg_p403x403&_nc_cat=107&ccb=1-7&_nc_sid=110474&_nc_ohc=ObISUjqgnpgAX9FjP0V&_nc_ht=scontent.fagc1-2.fna&oh=00_AfDRxX97iilc9eSeQPOkqSTDtK1RcP4L9Qn4KK-ONlQp2A&oe=63F805D2","Monday, February 13, 2023 at 1:56 AM","1676282217000","https://www.facebook.com/100064641337040/posts/562911952540178","https://www.facebook.com/tamkrasaee/posts/pfbid0QQodJuKNWeXNowyRqn6UgcMxyt95pQToECQq5aqvxXmTvgHeAcr4SrDcZ8HqXCHcl"
,"28","https://www.facebook.com/tamkrasaee/",,,"2700","https://www.facebook.com/photo.php?fbid=562712979226742&set=a.451405387024169&type=3","100064641337040","562712999226740","240","วิถีตัวแม่","https://scontent.fagc1-2.fna.fbcdn.net/v/t39.30808-6/330359859_586690702978368_404890022981247632_n.jpg?stp=dst-jpg_p480x480&_nc_cat=107&ccb=1-7&_nc_sid=110474&_nc_ohc=T_1bSqpR7FsAX9tgKNs&_nc_ht=scontent.fagc1-2.fna&oh=00_AfBnCsWB6Ys-BZQ27ta71jw-ld9oSHojLdpnuAYBmckKiA&oe=63F861E2","Sunday, February 12, 2023 at 6:36 PM","1676255799000","https://www.facebook.com/100064641337040/posts/562712999226740","https://www.facebook.com/tamkrasaee/posts/pfbid0urxdkq8K9BcKCcgHenwwUG8oZuMJAmx9Dqu2m2xE2QXTKaTBbaxwhqCZCsBKG2WHl"
,"12","https://www.facebook.com/tamkrasaee/",,"true","148",,"100064641337040","562367625927944","74","ทำไมเราไม่มาลองรักกันดูล่ะ 👁️🫦👁️  …………………………………….…👉🏻👈🏻…","https://scontent.fagc1-2.fna.fbcdn.net/v/t15.5256-10/330768126_1338801443634377_1266792331261434343_n.jpg?stp=dst-jpg_p180x540&_nc_cat=108&ccb=1-7&_nc_sid=08861d&_nc_ohc=xnxBlWbwcSgAX9KTKDn&_nc_ht=scontent.fagc1-2.fna&oh=00_AfDFTc2Rsj3y6wgEVIbxxI98BBZAVnU8E9LJbyOHUPcYnQ&oe=63F99A54","Sunday, February 12, 2023 at 7:02 AM","1676214132000","https://www.facebook.com/100064641337040/posts/562367625927944","https://www.facebook.com/tamkrasaee/posts/pfbid02xdPUC6HyeNNaQQ8tUBdEVJ5B8Psbi2P4FH8DKjgi6GUd6tg8bBPB6sjsBiQeJTYHl"
,"708","https://www.facebook.com/tamkrasaee/",,,"7700","https://www.facebook.com/photo.php?fbid=562301755934531&set=a.451405387024169&type=3","100064641337040","562301789267861","4700","ห้ะ อ๋อออออ ห้ะ","https://scontent.fagc1-1.fna.fbcdn.net/v/t39.30808-6/330120130_474027674945723_2011818715437289172_n.jpg?stp=dst-jpg_p526x296&_nc_cat=105&ccb=1-7&_nc_sid=110474&_nc_ohc=sfpXvj1KtUcAX85NLkE&_nc_ht=scontent.fagc1-1.fna&oh=00_AfD7qIX7YmFhYhd3yYjaGnLtjgB2FInLVG_eXuK_crSJGg&oe=63F7AD96","Sunday, February 12, 2023 at 5:13 AM","1676207605000","https://www.facebook.com/100064641337040/posts/562301789267861","https://www.facebook.com/tamkrasaee/posts/pfbid02DLKXN9fyeGJFcQcP2pxaBWqEhjdQNq1LVtqq9A489Mi5aViKYUB3oL97LvPe6wZ9l"
,"28","https://www.facebook.com/tamkrasaee/",,,"1000","https://www.facebook.com/photo.php?fbid=562252932606080&set=a.451405387024169&type=3","100064641337040","562252989272741","215","😂😅🥲","https://scontent.fagc1-2.fna.fbcdn.net/v/t39.30808-6/330030977_418360613824261_3651445914537472481_n.jpg?stp=cp1_dst-jpg_p180x540&_nc_cat=104&ccb=1-7&_nc_sid=110474&_nc_ohc=bXpuLZi5-HIAX-JX__h&_nc_ht=scontent.fagc1-2.fna&oh=00_AfDONYWqdV4AkdNYl1Xxk2Z9HjPgEnsi-BuXXWnBPmjuew&oe=63F86EFA","Sunday, February 12, 2023 at 3:52 AM","1676202757000","https://www.facebook.com/100064641337040/posts/562252989272741","https://www.facebook.com/tamkrasaee/posts/pfbid0327RiP2Z38XPhp9T3XNkUnDMzt1oJh9aqPfTbpN7n1Qn32s9n5bz6iCezBCNzZEUNl"
,"54","https://www.facebook.com/tamkrasaee/",,,"552","https://www.facebook.com/photo.php?fbid=562228625941844&set=a.451405387024169&type=3","100064641337040","562228785941828","76","ไม่เกินจริง","https://scontent-dfw5-2.xx.fbcdn.net/v/t39.30808-6/330088916_559855226170994_4043032194641402090_n.jpg?stp=cp1_dst-jpg_p480x480&_nc_cat=100&ccb=1-7&_nc_sid=110474&_nc_ohc=DUdJMhNRNQgAX8TvNKn&_nc_ht=scontent-dfw5-2.xx&oh=00_AfAJFM7tv8e3ffm4QfdjmKUWxS6a-pNEIg4Be0X-oHr2GQ&oe=63F8D235","Sunday, February 12, 2023 at 3:10 AM","1676200200000","https://www.facebook.com/100064641337040/posts/562228785941828","https://www.facebook.com/tamkrasaee/posts/pfbid0QDtD2dqugG29XJtErnAntxeypEaFYXKwA9hLU9NoY9y4jK6tVciM36A8ZMjKDsTGl"
,"169","https://www.facebook.com/tamkrasaee/",,,"1800","https://www.facebook.com/photo.php?fbid=561475336017173&set=a.451405387024169&type=3","100064641337040","561475959350444","445","ไปต่อคิวจร้าาา #วาเลนไทน์","https://scontent-dfw5-1.xx.fbcdn.net/v/t39.30808-6/329856621_584559443196138_6811025920444094833_n.jpg?stp=cp1_dst-jpg_p480x480&_nc_cat=103&ccb=1-7&_nc_sid=110474&_nc_ohc=WtgZk13nAuoAX_pdmOj&_nc_ht=scontent-dfw5-1.xx&oh=00_AfAoYEJmscAlLMTOg8AcwmEEJw-8KgURDowaS8HocKtlew&oe=63F837B1","Saturday, February 11, 2023 at 12:42 AM","1676104964000","https://www.facebook.com/100064641337040/posts/561475959350444","https://www.facebook.com/tamkrasaee/posts/pfbid02prEwpsUzYqifnGoBjjyLiUbPKgMpS56cPxYSKJNuRG8eHd7D7b5iiPH3acui8SzNl"
